fund_id,fund_name,one_month,three_month,six_month,one_year,three_year,from_start
000061,华夏盛世混合,-3.87%,-8.94%,-10.54%,-2.22%,38.48%,-3.20%
000062,银华量化智慧动力混合,-1.34%,-8.91%,-9.68%,-8.56%,13.42%,17.50%
000066,诺安鸿鑫保本混合,1.40%,0.50%,0.20%,0.30%,1.40%,39.89%
000063,长盛电子信息主题灵活配置混合,1.06%,-5.39%,-10.93%,-12.83%,99.65%,71.90%
000065,国富焦点驱动混合,2.54%,2.31%,3.36%,6.95%,64.32%,55.61%
000067,民生加银转债优选A,1.56%,-4.55%,-6.34%,-1.52%,-0.48%,-9.73%
000064,大摩18个月定期开放债券,0.10%,0.48%,0.87%,4.73%,31.15%,40.47%
000068,民生加银转债优选C,1.57%,-4.73%,-6.66%,-1.98%,-1.50%,-11.05%
000069,国投瑞银中高等级债券A,-0.28%,-0.48%,-1.21%,0.96%,20.66%,28.62%
000073,上投成长动力,0.62%,5.44%,6.82%,-3.70%,32.10%,14.40%
000074,工银信用纯债一年定开债券A,0.23%,0.08%,-0.62%,-0.16%,20.85%,28.70%
000070,国投瑞银中高等级债券C,-0.38%,-0.57%,-1.31%,0.59%,19.46%,26.87%
000071,华夏恒生ETF联接,3.34%,8.74%,12.36%,28.19%,33.14%,37.80%
000076,华夏恒生联接现钞,--,--,--,--,--,--
000072,华安保本混合,1.10%,0.20%,0.10%,-0.20%,1.17%,72.15%
000075,华夏恒生联接现汇,4.97%,10.58%,14.00%,23.67%,20.44%,28.29%
000077,工银信用纯债一年定开债券C,0.16%,0.00%,-0.78%,-0.55%,19.55%,26.60%
000079,工银信用纯债两年定开债券C,-0.09%,-0.59%,-1.92%,-0.34%,12.00%,17.60%
000083,汇添富消费行业混合,10.19%,11.48%,14.13%,22.48%,130.13%,168.10%
000078,工银信用纯债两年定开债券A,-0.08%,-0.50%,-1.73%,0.08%,13.19%,19.30%
000081,天治可转债C,0.76%,-3.53%,-9.44%,-7.15%,13.54%,6.50%
000080,天治可转债A,0.75%,-3.40%,-9.33%,-6.82%,14.67%,7.90%
000085,博时安盈债券C,0.18%,0.55%,0.00%,1.00%,8.42%,14.09%
000086,南方稳利1年定期开放债券A,-0.20%,-0.81%,-2.49%,0.63%,13.75%,23.27%
000084,博时安盈债券A,0.27%,0.54%,0.18%,1.36%,9.78%,16.07%
000087,嘉实中证金边国债ETF联接A,0.04%,-1.82%,-2.77%,-2.57%,4.94%,6.60%
000082,嘉实研究阿尔法股票,5.43%,3.08%,2.91%,12.64%,89.96%,85.40%
000088,嘉实中证金边国债ETF联接C,0.03%,-1.87%,-2.87%,-2.75%,4.77%,6.05%
000090,民生加银家盈理财月度B,0.37%,1.10%,2.14%,3.87%,13.34%,19.31%
000089,民生加银家盈理财月度A,0.35%,1.04%,2.02%,3.62%,12.53%,18.34%
000092,信诚新双盈分级债券A
000091,信诚新双盈分级债券,0.10%,-1.00%,-1.78%,-0.12%,38.12%,38.69%
000093,信诚新双盈分级债券B,-0.81%,-2.17%,-4.85%,-3.24%,39.15%,39.62%
000104,华宸信用增利债券,0.19%,-0.37%,-0.92%,2.67%,27.07%,31.26%
000105,建信安心回报债券A,0.26%,0.09%,-1.43%,-1.09%,12.97%,18.76%
000106,建信安心回报债券C,0.17%,0.00%,-1.70%,-1.45%,11.80%,16.75%
000103,国泰中国企业境外高收益债券,-1.45%,-0.15%,2.03%,9.50%,30.90%,36.00%
000107,富国稳健增强债券A/B,0.10%,0.38%,-0.28%,1.15%,28.44%,34.26%
000109,富国稳健增强债券C,0.10%,0.29%,-0.38%,0.86%,26.82%,31.93%
000112,易方达纯债1年定开债券C,0.00%,-0.19%,-0.19%,0.79%,16.73%,21.87%
000111,易方达纯债1年定开债券A,0.00%,-0.10%,0.00%,1.08%,17.98%,23.53%
000110,金鹰元安混合A,0.22%,0.53%,0.78%,0.64%,26.00%,31.55%
000113,嘉实如意宝定期债券A,0.09%,0.25%,-0.35%,0.08%,20.80%,25.75%
000115,嘉实如意宝定期债券C,0.00%,0.14%,-0.63%,-0.38%,19.35%,23.76%
000116,嘉实丰益纯债定期债券,0.00%,0.00%,-0.60%,-0.16%,18.04%,22.92%
000119,广发聚鑫债券C,0.78%,-0.77%,-3.08%,-2.15%,58.23%,60.13%
000117,广发轮动配置混合,1.91%,3.11%,6.35%,10.31%,75.26%,65.80%
000118,广发聚鑫债券A,0.77%,-0.68%,-2.89%,-1.73%,58.85%,61.55%
000120,中银美丽中国混合,3.95%,0.48%,-1.33%,6.41%,30.51%,30.52%
000121,华夏永福养老理财混合A,1.33%,1.20%,1.00%,4.54%,46.58%,52.00%
000122,汇添富实业债债券A,0.75%,0.37%,-1.44%,0.47%,30.09%,37.25%
000124,华宝服务优选混合,4.26%,-0.73%,-7.61%,-12.67%,81.48%,78.94%
000123,汇添富实业债债券C,0.67%,0.19%,-1.65%,0.11%,28.54%,34.84%
000125,上投摩根天颐年丰混合A,1.10%,1.30%,0.70%,2.41%,27.42%,31.62%
000126,招商安润保本混合,1.30%,0.60%,0.30%,0.20%,1.10%,34.93%
000127,农银行业领先混合,6.14%,3.19%,1.45%,12.78%,109.56%,91.64%
000128,大成景安短融债券A,0.30%,0.91%,1.37%,2.17%,13.55%,21.73%
000130,大成景兴信用债债券A,0.00%,-0.09%,-1.07%,-1.14%,36.49%,40.18%
000134,信诚理财28日盈A,--,--,--,--,--,0.17%
000135,信诚理财28日盈B,--,--,--,--,--,0.18%
000136,民生加银策略精选混合,2.69%,4.57%,1.49%,7.66%,169.09%,144.60%
000131,大成景兴信用债债券C,0.00%,-0.18%,-1.26%,-1.49%,35.33%,38.31%
000129,大成景安短融债券B,0.33%,0.98%,1.56%,2.51%,14.86%,23.25%
000137,民生加银岁岁增利A,-0.10%,-0.10%,-0.96%,1.99%,23.58%,29.26%
000138,民生加银岁岁增利C,-0.10%,-0.29%,-1.15%,1.52%,22.10%,27.23%
000139,富国国有企业债债券A,0.10%,0.50%,0.20%,1.90%,16.70%,23.32%
000141,富国国有企业债C级,0.10%,0.40%,0.10%,1.50%,15.28%,21.48%
000143,鹏华双债加利债券,0.57%,-0.64%,-1.89%,-0.01%,28.69%,34.10%
000147,易方达高等级信用债A,0.27%,0.09%,-0.87%,0.09%,14.04%,20.66%
000151,诺安信用一年定开债券,0.21%,0.21%,-0.10%,0.01%,22.54%,28.17%
000142,融通通泰保本混合A,-0.50%,0.30%,0.40%,-0.60%,-0.08%,18.40%
000150,华安双债添利债券C,0.09%,-0.28%,-2.43%,-1.41%,40.54%,38.71%
000148,易方达高等级信用债C,0.18%,0.00%,-1.07%,-0.36%,12.53%,18.61%
000152,大成景旭纯债A,0.00%,0.00%,-0.19%,2.17%,21.78%,28.48%
000149,华安双债添利债券A,0.28%,0.00%,-2.09%,-0.92%,41.51%,40.10%
000153,大成景旭纯债C,0.09%,0.00%,-0.28%,1.82%,20.72%,26.99%
000165,国投瑞银策略精选混合,0.52%,0.06%,0.70%,7.27%,106.30%,122.75%
000167,广发聚优灵活配置混合A,6.64%,10.30%,11.27%,12.72%,36.16%,38.20%
000166,中海安鑫保本,1.40%,0.20%,0.60%,1.00%,0.40%,37.99%
000169,泰达收益增强债券A,0.30%,-0.99%,-1.19%,-0.70%,18.44%,24.60%
000172,华泰柏瑞量化增强混合A,5.35%,2.71%,3.91%,21.25%,124.65%,135.21%
000171,易方达裕丰回报债券,1.16%,1.85%,0.61%,3.56%,42.05%,48.30%
000170,泰达收益增强债券B,0.31%,-1.11%,-1.31%,-1.01%,17.24%,22.98%
000176,嘉实沪深300指数研究增强,6.99%,6.50%,6.06%,17.42%,--,16.66%
000175,汇添富高息债债券C,0.30%,0.59%,0.46%,4.44%,31.42%,39.43%
000173,汇添富美丽30混合,7.36%,7.65%,3.00%,4.75%,79.54%,102.70%
000174,汇添富高息债债券A,0.29%,0.66%,0.59%,4.91%,33.06%,41.84%
000180,广发美国房地产指数现汇,1.27%,1.65%,1.59%,-0.05%,15.79%,35.04%
000178,博时灵活配置混合A,0.64%,1.01%,1.23%,3.11%,53.66%,50.43%
000177,嘉实丰益信用定期债券A,0.20%,0.20%,0.41%,1.97%,21.49%,27.13%
000179,广发美国房地产指数,-0.23%,0.00%,0.39%,3.51%,27.58%,48.38%
000182,景顺长城四季金利债券C,0.45%,1.17%,0.54%,2.74%,17.74%,25.37%
000183,嘉实丰益策略定期债券,0.20%,-0.10%,-0.30%,2.52%,20.34%,26.02%
000181,景顺长城四季金利债券A,0.53%,1.34%,0.80%,3.17%,19.08%,27.17%
000184,工银添福债券A,0.44%,-1.95%,-3.60%,-1.83%,50.84%,60.80%
000185,工银添福债券B,0.38%,-2.11%,-3.84%,-2.29%,48.54%,57.90%
000186,华泰柏瑞季季红债券,0.20%,0.50%,0.40%,0.58%,15.48%,22.10%
000187,华泰柏瑞丰盛纯债债券A,0.01%,0.13%,-0.33%,0.38%,14.86%,20.83%
000189,易方达保本一号混合,3.30%,0.58%,1.18%,1.08%,2.89%,--
000188,华泰柏瑞丰盛纯债债券C,-0.02%,0.04%,-0.53%,-0.01%,13.85%,19.43%
000190,中银新回报灵活配置混合,1.62%,2.62%,3.73%,6.81%,46.03%,52.89%
000191,富国信用债债券A,-0.40%,-0.60%,-1.67%,0.85%,17.26%,23.66%
000192,富国信用债债券C,-0.40%,-0.70%,-1.87%,0.35%,15.75%,21.60%
000196,工银保本3号混合B,-1.10%,0.20%,-0.20%,-0.80%,-1.08%,27.74%
000194,银华信用四季红债券,0.10%,-0.49%,-1.55%,-0.46%,27.58%,33.61%
000195,工银保本3号混合A,-0.60%,0.20%,-0.10%,-0.50%,-0.57%,30.15%
000193,国泰美国房地产开发股票,-0.08%,2.11%,4.99%,12.71%,26.85%,30.40%
000198,天弘余额宝货币,0.34%,0.99%,1.83%,3.05%,10.56%,16.50%
000197,富国目标收益一年期纯债债券,0.10%,0.20%,0.20%,0.67%,16.09%,23.16%
000201,诺安泰鑫一年定期开放债券A,-0.20%,-0.30%,-1.55%,0.87%,16.13%,20.89%
000204,国富日日收益货币B,0.31%,0.93%,1.60%,2.95%,10.94%,15.88%
000202,富国目标收益两年期纯债债券,0.10%,0.19%,0.20%,3.06%,22.79%,29.42%
000199,国泰策略收益灵活配置混合,1.15%,0.36%,0.93%,6.88%,59.26%,67.23%
000206,易方达投资级信用债债券C,-0.09%,0.00%,-1.45%,-0.14%,21.88%,26.76%
000203,国富日日收益货币A,0.29%,0.87%,1.47%,2.71%,10.07%,14.73%
000200,博时岁岁增利一年定开债券,0.20%,0.00%,-1.21%,0.73%,23.73%,29.70%
000205,易方达投资级信用债债券A,-0.09%,0.00%,-1.36%,0.04%,22.64%,27.91%
000207,建信双债增强债券A,2.34%,-1.53%,-3.55%,-2.78%,16.35%,23.61%
000208,建信双债增强债券C,2.29%,-1.71%,-3.75%,-3.29%,14.98%,21.69%
000211,光大保德信现金宝货币B,0.33%,0.98%,1.81%,3.17%,10.88%,14.58%
000209,信诚新兴产业混合,-1.55%,-12.05%,-14.72%,-19.16%,56.15%,46.00%
000213,泰信鑫益定期开放债券C,-0.19%,-0.67%,-1.33%,-0.67%,14.59%,18.95%
000210,光大保德信现金宝货币A,0.31%,0.92%,1.69%,2.92%,10.09%,13.56%
000214,广发成长优选混合,5.42%,4.63%,4.32%,4.40%,36.59%,40.00%
000212,泰信鑫益定期开放债券A,-0.19%,-0.67%,-1.13%,-0.29%,16.01%,20.89%
000216,华安黄金易ETF联接A,1.61%,2.45%,4.71%,5.13%,10.95%,3.96%
000218,国泰黄金ETF联接A,1.50%,2.57%,4.68%,5.25%,--,6.76%
000215,广发趋势优选灵活配置,2.23%,3.90%,5.36%,10.94%,60.08%,57.20%
000217,华安黄金易ETF联接C,1.58%,2.37%,4.58%,4.92%,10.79%,3.48%
000219,博时裕益灵活配置,1.57%,-2.65%,-5.25%,-0.62%,45.41%,35.23%
000220,富国医疗保健行业混合,1.94%,0.12%,-8.65%,-13.92%,52.33%,73.20%
000222,汇添富年年利定期开放债券C,0.24%,0.49%,0.33%,3.10%,18.48%,23.10%
000226,长盛年年收益定期开放债券C,0.16%,0.49%,-0.41%,0.33%,17.00%,22.50%
000227,华安年年红债券A,0.29%,0.67%,1.44%,2.41%,23.22%,29.91%
000235,诺安稳固收益一年定开债券,0.20%,0.10%,-0.41%,-0.57%,11.19%,17.08%
000225,长盛年年收益定期开放债券A,0.16%,0.57%,-0.24%,0.57%,17.90%,23.80%
000221,汇添富年年利定期开放债券A,0.32%,0.56%,0.56%,3.57%,19.87%,24.90%
000237,国投瑞银一年定期开放债A,0.00%,-0.10%,-1.06%,0.13%,17.59%,25.04%
000238,国投瑞银一年定期开放债C,0.00%,-0.20%,-1.26%,-0.06%,16.73%,23.88%
000236,工银月月薪定期支付债券A,0.77%,0.00%,-1.10%,1.12%,36.75%,44.00%
000239,华安年年盈定开债A,0.21%,0.62%,-2.91%,-2.08%,--,3.27%
000240,华安年年盈定开债C,0.21%,0.52%,-3.02%,-2.39%,--,2.59%
000244,天弘稳利定期开放债券A,0.08%,0.00%,-0.56%,0.81%,23.26%,29.30%
000241,宝盈核心优势混合C,-1.58%,-9.39%,-11.96%,-10.89%,45.46%,72.56%
000242,景顺长城策略精选,0.92%,1.64%,3.15%,11.04%,50.66%,72.90%
000245,天弘稳利定期开放债券B,0.00%,-0.08%,-0.81%,0.33%,21.80%,27.28%
000251,工银金融地产混合,8.58%,4.53%,3.32%,17.28%,132.94%,170.21%
000246,博时月月薪定期支付债券,-0.08%,-0.57%,-2.12%,0.75%,28.12%,35.08%
000248,汇添富中证主要消费ETF联,9.14%,9.78%,14.38%,25.32%,--,17.41%
000247,方正富邦互利债券,-0.63%,-0.09%,0.46%,3.67%,5.86%,10.20%
000253,景顺长城景兴信用纯债C,-0.32%,-0.57%,-1.60%,-0.65%,16.68%,23.10%
000252,景顺长城景兴信用纯债A,-0.24%,-0.48%,-1.34%,-0.24%,18.13%,25.10%
000254,长城增强收益定开债券A,0.38%,0.18%,-0.28%,3.48%,27.72%,33.86%
000255,长城增强收益定开债券C,0.38%,0.00%,-0.56%,2.99%,26.22%,31.90%
000256,上投摩根红利回报混合A,0.10%,0.89%,0.80%,4.18%,30.80%,34.61%
000257,上投岁岁盈定开债券A,-0.10%,0.00%,-1.51%,-0.53%,11.69%,16.72%
000258,上投岁岁盈定开债券C,-0.20%,-0.20%,-1.81%,-0.92%,10.43%,15.07%
000259,农银区间收益混合,5.66%,5.97%,5.65%,11.83%,116.28%,106.05%
000260,信诚季季定期支付债券,1.70%,1.46%,0.55%,3.01%,45.67%,52.81%
000265,易方达恒久添利1年定开债券,-0.09%,-0.18%,-1.07%,-1.25%,--,10.80%
000263,工银信息产业混合,2.68%,-2.54%,-12.57%,-6.78%,57.32%,74.78%
000264,博时内需增长混合,-3.39%,-9.53%,-13.26%,-21.65%,-8.88%,-13.68%
000267,广发集利一年定期开放债券A,0.09%,0.09%,-0.46%,1.26%,32.16%,38.37%
000266,易方达恒久添利1年定开债券,-0.09%,-0.27%,-1.26%,-1.70%,--,9.60%
000268,广发集利一年定期开放债券C,0.09%,0.00%,-0.55%,0.90%,30.52%,36.27%
000270,建信安心保本混合,1.10%,0.30%,0.50%,1.00%,3.50%,47.63%
000269,嘉实合润双债两年期定期债券
000272,中邮定期开放债券C,-0.29%,-0.19%,-1.04%,0.81%,21.68%,27.66%
000271,中邮定期开放债券A,-0.19%,-0.29%,-1.11%,0.89%,22.54%,28.93%
000273,华润元大安鑫灵活配置混合,3.38%,0.60%,2.12%,3.44%,80.06%,83.30%
000274,广发亚太中高收益债券,-1.36%,-0.64%,1.23%,8.54%,28.01%,31.21%
000275,广发亚太中高收益债券现汇,0.11%,0.95%,2.43%,4.79%,16.12%,18.54%
000277,博时双月薪定期支付债券,-0.10%,-0.30%,-0.41%,4.35%,36.46%,44.47%
000278,融通通泽灵活配置混合,1.01%,-0.70%,-0.79%,4.82%,22.95%,8.20%
000279,华商红利优选灵活配置,-2.56%,-6.39%,-5.29%,-2.36%,116.75%,104.82%
000281,博时双债增强债券C,0.09%,-0.71%,-3.28%,-1.78%,11.51%,16.76%
000280,博时双债增强债券A,0.09%,-0.70%,-3.25%,-1.51%,12.46%,17.98%
000286,银华信用季季红债券,1.38%,2.27%,4.61%,5.41%,24.42%,27.65%
000289,鹏华丰泰定期开放债券A,-0.23%,-0.93%,-3.63%,-0.69%,27.32%,30.00%
000291,鹏华丰信分级债券,-0.11%,-0.16%,-1.79%,0.18%,30.26%,38.96%
000288,银华永利债券C,0.17%,0.25%,-0.83%,0.07%,19.87%,25.98%
000287,银华永利债券A,0.25%,0.33%,-0.57%,0.47%,21.16%,27.70%
000290,鹏华全球高收益债,-0.89%,0.92%,3.97%,12.48%,42.95%,44.95%
000293,鹏华丰信分级债券B,-0.24%,-0.24%,-7.92%,-10.38%,23.77%,32.44%
000299,中海纯债债券C,-0.71%,-0.92%,-5.35%,-3.18%,10.66%,11.00%
000294,华安生态优先混合,2.57%,-2.15%,-5.90%,1.21%,66.84%,59.50%
000297,鹏华可转债债券,3.05%,-1.94%,-5.26%,-2.99%,--,-19.00%
000298,中海纯债债券A,-0.60%,-0.80%,-5.10%,-2.76%,11.92%,12.25%
000301,德邦德利货币B,0.32%,0.96%,1.70%,3.04%,11.28%,14.97%
000292,鹏华丰信分级债券A
000300,德邦德利货币A,0.30%,0.90%,1.58%,2.79%,10.48%,13.97%
000296,鹏华丰实定期开放债券B,0.00%,-0.48%,-2.74%,-0.19%,24.69%,27.81%
000295,鹏华丰实定期开放债券A,0.00%,-0.38%,-2.63%,0.19%,25.96%,29.49%
000302,国泰淘金互联网债券,0.33%,0.07%,-0.27%,-0.02%,12.43%,16.48%
000304,长盛双月红定期债券C,-0.10%,-0.21%,-2.45%,-0.20%,11.19%,16.01%
000307,易方达黄金ETF联接A,1.51%,2.41%,4.36%,-0.43%,--,-0.10%
000309,大摩品质生活股票,3.63%,-1.12%,-0.43%,20.36%,109.95%,85.60%
000306,天弘弘利债券,0.08%,-0.24%,-0.55%,0.72%,20.90%,26.10%
000308,建信创新中国混合,3.21%,2.06%,0.75%,6.39%,134.77%,128.20%
000305,中银中高等级A,0.00%,-0.48%,-1.33%,-0.03%,16.73%,23.99%
000303,长盛双月红定期债券A,-0.10%,-0.10%,-2.25%,0.10%,12.21%,17.21%
000310,安信永利信用A,-0.75%,-0.93%,-1.12%,2.02%,25.07%,31.83%
000311,景顺长城沪深300增强,6.46%,7.11%,8.10%,28.38%,121.66%,110.80%
000317,中海惠利纯债分级债券A
000316,中海惠利纯债分级债券,0.00%,0.10%,-1.56%,-1.27%,16.94%,21.18%
000314,招商瑞丰灵活配置混合发起式A,1.75%,3.06%,2.92%,5.71%,43.62%,47.79%
000313,华安沪深300增强C,7.42%,7.87%,6.51%,19.28%,80.99%,61.26%
000318,中海惠利纯债分级债券B,-0.96%,-1.90%,-8.57%,-8.57%,11.08%,16.19%
000312,华安沪深300增强A,7.45%,7.99%,6.74%,19.77%,84.13%,64.80%
000319,泰达淘利债券A,0.16%,0.33%,0.41%,2.27%,--,21.60%
000320,泰达淘利债券B,0.08%,0.17%,0.25%,1.94%,--,20.90%
000322,农银14天理财A,0.27%,0.79%,1.54%,2.93%,11.15%,13.76%
000324,华润元大现金收益货币A,0.27%,0.68%,1.27%,2.56%,10.40%,13.54%
000323,农银14天理财B,0.29%,0.85%,1.67%,3.17%,11.96%,14.71%
000326,南方顺达,3.70%,0.39%,0.19%,0.39%,2.47%,--
000325,华润元大现金收益货币B,0.29%,0.74%,1.39%,2.80%,11.19%,14.52%
000327,南方丰合,6.60%,0.76%,1.14%,1.52%,3.90%,--
000329,鹏华丰饶定开债,0.20%,0.51%,-0.40%,--,--,-1.30%
000328,上投摩根转型动力,4.29%,7.38%,7.90%,4.92%,80.00%,55.70%
000331,中加货币A,0.31%,0.89%,1.65%,3.06%,11.49%,15.39%
000330,汇添富现金宝货币,0.34%,0.97%,1.74%,3.06%,10.97%,15.44%
000332,中加货币C,0.34%,0.95%,1.78%,3.31%,12.30%,16.40%
000334,长城稳固收益债券C,0.19%,0.28%,0.10%,1.40%,--,9.11%
000333,长城稳固收益债券A,0.19%,0.28%,0.29%,1.77%,--,10.11%
000335,安信永利信用C,-0.76%,-1.04%,-1.32%,1.56%,23.62%,29.92%
000336,农银研究精选,0.14%,-3.87%,-6.92%,-13.67%,61.75%,37.21%
000343,华夏财富宝货币A,0.34%,0.98%,1.69%,3.10%,11.30%,15.31%
000338,鹏华双债保利债券,0.25%,0.65%,-0.38%,0.59%,16.64%,21.29%
000342,嘉实新兴市场A1(QDII),-0.50%,1.45%,4.58%,11.65%,39.35%,50.64%
000341,嘉实新兴市场C2(QDII,0.91%,2.97%,5.52%,7.26%,15.40%,17.02%
000339,长城医疗保健混合,-0.07%,-0.41%,2.09%,17.44%,46.22%,46.80%
000345,鹏华丰融定期开放债券,-0.17%,0.26%,0.51%,2.08%,19.36%,25.20%
000347,建信安心回报两年定开债券C,0.20%,0.49%,1.08%,2.39%,16.09%,20.73%
000351,国富恒丰定期债券A,-0.10%,0.25%,0.29%,3.39%,21.47%,27.45%
000346,建信安心回报两年定开债券A,0.20%,0.59%,1.28%,2.79%,17.43%,22.37%
000352,国富恒丰定期债券C,0.00%,0.16%,0.11%,3.02%,20.19%,25.86%
000356,南方丰元C,-0.75%,-1.58%,-4.16%,-4.07%,14.31%,21.75%
000355,南方丰元A,-0.65%,-1.47%,-3.86%,-3.69%,15.57%,23.43%
000354,长盛城镇化主题混合,2.76%,-1.74%,-1.29%,7.16%,104.21%,98.29%
000361,信诚年年有余B,0.73%,0.00%,-1.20%,1.48%,18.15%,23.70%
000362,国泰聚信价值优势灵活配置A,1.48%,-2.43%,-2.27%,16.51%,129.65%,113.57%
000366,汇添富添富通货币A,0.30%,0.83%,1.51%,2.75%,--,6.81%
000363,国泰聚信价值优势灵活配置C,1.45%,-2.54%,-2.54%,19.11%,132.64%,118.22%
000360,信诚年年有余A,0.80%,0.18%,-0.92%,1.98%,19.77%,25.64%
000359,易方达易理财货币,0.35%,1.03%,1.97%,3.40%,11.83%,15.69%
000367,国泰安康养老定期支付混合A,2.32%,2.56%,2.16%,-0.45%,31.35%,32.40%
000368,汇添富沪深300安中指数,6.20%,5.69%,4.64%,18.54%,63.07%,43.55%
000369,广发全球医疗保健现钞,0.55%,3.04%,14.16%,8.68%,29.62%,41.94%
000373,华安中证细分医药ETF联接,5.60%,6.65%,6.56%,16.96%,--,28.30%
000372,中银惠利半年定期开放债券,-0.10%,-0.40%,-1.18%,0.33%,19.09%,26.61%
000376,华安中证细分医药ETF联接,5.58%,6.64%,6.55%,16.65%,--,26.80%
000370,广发全球医疗保健现汇,2.04%,4.69%,15.51%,4.92%,17.60%,28.20%
000377,上投双债增利A,0.78%,-0.19%,-2.37%,0.35%,40.75%,46.66%
000379,平安大华日增利货币,0.32%,0.92%,1.68%,2.90%,10.96%,13.78%
000371,民生加银现金宝货币A,0.33%,0.92%,1.73%,3.06%,11.03%,14.97%
000378,上投双债增利C,0.69%,-0.29%,-2.56%,-0.03%,39.71%,45.30%
000380,景顺长城景益货币A,0.30%,0.89%,1.69%,2.88%,9.84%,12.38%
